"Title","Price","Link"
"Niaouli Uçucu Yağı 10 ml, Nioli, Niaoli 10 ml","250","https://www.cansizzadeyag.com/urun/nioli-ucucu-yagi-10ml-1adet"
"Niaouli Uçucu Yağı 10 ml, Nioli, Niaoli 1 kg","2200","https://www.cansizzadeyag.com/urun/nioli-ucucu-yagi-10ml-1-kg"
"Ozon Yağı - Ozonlanmış Zeytinyağı","475","https://www.cansizzadeyag.com/urun/ozon-yagi"
"Ozon Yağı - Ozonlanmış Zeytinyağı 1 kg","1750","https://www.cansizzadeyag.com/urun/ozon-yagi-1-kg"
"Ozon Yağı - Ozonlanmış Zeytinyağı 250 ml","475","https://www.cansizzadeyag.com/urun/ozon-yagi-250-ml"
"At Kestanesi Yağı","290","https://www.cansizzadeyag.com/urun/at-kestanesi-yagi"
"At Kestanesi Yağı 1 kg","750","https://www.cansizzadeyag.com/urun/at-kestanesi-yagi-1-kg"
"At Kestanesi Yağı 250 ml","290","https://www.cansizzadeyag.com/urun/at-kestanesi-yagi-250-ml"
"At Kestanesi Yağı 500 ml","380","https://www.cansizzadeyag.com/urun/at-kestanesi-yagi-500-ml"
"E Vitamini - 10 ml","180","https://www.cansizzadeyag.com/urun/e-vitamini-10-ml"
"Ketencik Tohumu Yağı","300","https://www.cansizzadeyag.com/urun/ketencik-yagi"
"Ketencik Tohumu Yağı 1 kg","600","https://www.cansizzadeyag.com/urun/ketencik-yagi-1-kg"
"KişnişTohumu Yağı","500","https://www.cansizzadeyag.com/urun/kisnistohumu-yagi"
"KişnişTohumu Yağı 1 kg","500","https://www.cansizzadeyag.com/urun/kisnistohumu-yagi-1-kg"
"Papatya Yağı (Maserasyon)","300","https://www.cansizzadeyag.com/urun/papatya-yagi"
"Papatya Yağı (Maserasyon) 1 kg","800","https://www.cansizzadeyag.com/urun/papatya-yagi-1kg"
"Papatya Yağı (Maserasyon) 250 ml","300","https://www.cansizzadeyag.com/urun/papatya-yagi-maserat-250-ml"
"Cam Kavanoz Krem Kavanozu (Amber)","55","https://www.cansizzadeyag.com/urun/cam-kavanoz-krem-kavanozu-amber"
"Cam Kavanoz Krem Kavanozu (Amber) 30 ml","42","https://www.cansizzadeyag.com/urun/cam-kavanoz-krem-kavanozu-amber-30-ml"
"Cam Kavanoz Krem Kavanozu (Amber) 50 ml","75","https://www.cansizzadeyag.com/urun/cam-kavanoz-krem-kavanozu-amber-50-ml"
"Cam Kavanoz Krem Kavanozu (Amber) 100 ml","85","https://www.cansizzadeyag.com/urun/cam-kavanoz-krem-kavanozu-amber-100-ml"
"Shea Yağı - Shea Butter (Fildişi rafine)","580","https://www.cansizzadeyag.com/urun/shea-yagi"
"Shea Yağı - Shea Butter (Fildişi rafine) 1 kg","880","https://www.cansizzadeyag.com/urun/shea-yagi-1kg"
"Shea Yağı - Shea Butter (Fildişi rafine) 150 ml","250","https://www.cansizzadeyag.com/urun/shea-yagi-150-ml"
"Shea Yağı - Shea Butter (Fildişi rafine) 0,5 kg","580","https://www.cansizzadeyag.com/urun/shea-yagi-0-5-kg"
"Shea Yağı - Shea Butter (Fildişi rafine) 25 Kg","21000","https://www.cansizzadeyag.com/urun/shea-yagi-25-kg"
"KUDRET NARI YAĞI 250 gr+ 100 ml","425","https://www.cansizzadeyag.com/urun/kudret-nari-yagi-250-gr-100-ml"
"Kudret Narı Yağı (Zeytinyağlı-Meyvesi Süzülmüş)","250","https://www.cansizzadeyag.com/urun/kudret-nari-yagi-zeytinyagli"
"Kudret Narı Yağı (Zeytinyağlı-Meyvesi Süzülmüş) 1 kg","680","https://www.cansizzadeyag.com/urun/kudret-nari-yagi-posasiz-suzme-1-kg"
"Kudret Narı Yağı (Zeytinyağlı-Meyvesi Süzülmüş) 100 ml","250","https://www.cansizzadeyag.com/urun/kudret-nari-yagi-posasiz-suzme-100-ml"
"Aromaterapi Cihazı Difuzor +Hediye Portakal Uçucu Yağı","508.47","https://www.cansizzadeyag.com/urun/aromaterapi-cihazi-difuzor-difuzor-portakal-ucucu-yagi"
"Udi Hindi Yağı","300","https://www.cansizzadeyag.com/urun/udi-hindi-yagi"
"Udi Hindi Yağı 100 ml","225","https://www.cansizzadeyag.com/urun/udi-hindi-yagi-100-ml"
"Udi Hindi Yağı 50 ml","300","https://www.cansizzadeyag.com/urun/udi-hindi-yagi-50-ml"
"Udi Hindi Yağı 1 kg","750","https://www.cansizzadeyag.com/urun/udi-hindi-yagi-1-kg"
"Kenevir (Kendir) Tohumu Yağı","400","https://www.cansizzadeyag.com/urun/kenevir-kendir-tohumu-yagi"
"Kenevir (Kendir) Tohumu Yağı 1 kg","1250","https://www.cansizzadeyag.com/urun/kenevir-kendir-tohumu-yagi-1-kg"
"Kenevir (Kendir) Tohumu Yağı 250 ml","400","https://www.cansizzadeyag.com/urun/kenevir-kendir-tohumu-yagi-250-ml"
"Haşhaş Tohumu Yağı","800","https://www.cansizzadeyag.com/urun/hashas-tohumu-yagi"
"Haşhaş Tohumu Yağı 1 kg","800","https://www.cansizzadeyag.com/urun/hashas-tohumu-yagi-1-kg"
"Haşhaş Tohumu Yağı 5 kg","3600","https://www.cansizzadeyag.com/urun/hashas-tohumu-yagi-5-kg"
"Menengiç Tohumu Yağı","650","https://www.cansizzadeyag.com/urun/menengic-tohumu-yagi"
"Menengiç Tohumu Yağı 1 kg","650","https://www.cansizzadeyag.com/urun/menengic-tohumu-yagi-1kg"
"Menengiç Tohumu Yağı 5 kg","3100","https://www.cansizzadeyag.com/urun/menengic-tohumu-yagi-5-kg"
"Kuşburnu Çekirdeği Yağı","240","https://www.cansizzadeyag.com/urun/kusburnu-cekirdegi-yagi"
"Kuşburnu Çekirdeği Yağı 1 kg","1750","https://www.cansizzadeyag.com/urun/kusburnu-cekirdegi-yagi-1-kg"
"Kuşburnu Çekirdeği Yağı 250 ml","600","https://www.cansizzadeyag.com/urun/kusburnu-cekirdegi-yagi-250-ml"
"Kuşburnu Çekirdeği Yağı 30 ml","240","https://www.cansizzadeyag.com/urun/kusburnu-cekirdegi-yagi-30-ml"
"Isırgan Tohumu Yağı","1500","https://www.cansizzadeyag.com/urun/isirgan-tohumu-yagi"
"Isırgan Tohumu Yağı 1 kg","2250","https://www.cansizzadeyag.com/urun/isirgan-tohumu-yagi-kg-1-kg-1"
"Isırgan Tohumu Yağı 500 ml","1500","https://www.cansizzadeyag.com/urun/isirgan-tohumu-yagi-500-ml"
"Havuç Tohumu Yağı","3250","https://www.cansizzadeyag.com/urun/havuc-tohumu-yagi"
"Havuç Tohumu Yağı 1 kg","3250","https://www.cansizzadeyag.com/urun/havuc-tohumu-yagi-1kg"
"Defne Tohumu Yağı","450","https://www.cansizzadeyag.com/urun/defne-tohumu-yagi"
"Defne Tohumu Yağı 1 kg","1500","https://www.cansizzadeyag.com/urun/defne-tohumu-yagi-1-kg"
"Defne Tohumu Yağı 250 ml","450","https://www.cansizzadeyag.com/urun/defne-tohumu-yagi-250-ml"
"Defne Tohumu Yağı 500 ml","750","https://www.cansizzadeyag.com/urun/defne-tohumu-yagi-500-ml"
"Aynısefa Yağı (Kalendula)","350","https://www.cansizzadeyag.com/urun/aynisefa-yagi-kalendula"
"Aynısefa Yağı (Kalendula) 1 kg","650","https://www.cansizzadeyag.com/urun/aynisefa-yagi-1-kg"
"Aynısefa Yağı (Kalendula) 250 ml","350","https://www.cansizzadeyag.com/urun/aynisefa-yagi-kalendula-250-ml"
"Badem (Acı) Yağı","500","https://www.cansizzadeyag.com/urun/aci-badem-yagi"
"Badem (Acı) Yağı 1 kg","1500","https://www.cansizzadeyag.com/urun/aci-badem-yagi-1-kg"
"Badem (Acı) Yağı 250 ml","500","https://www.cansizzadeyag.com/urun/badem-aci-yagi-250-ml"
"Jojoba Yağı","550","https://www.cansizzadeyag.com/urun/jojoba-yagi"
"Jojoba Yağı 250 ml","550","https://www.cansizzadeyag.com/urun/jojoba-yagi-250-ml"
"Jojoba Yağı 1 kg","1500","https://www.cansizzadeyag.com/urun/jojoba-yagi-1-kg"
"Jojoba Yağı 5 kg","7000","https://www.cansizzadeyag.com/urun/jojoba-yagi-5-kg"
"Kakao Yağı - Gıda ve Kozmetik Amaçlı","600","https://www.cansizzadeyag.com/urun/kakao-yagi-gida"
"Kakao Yağı - Gıda ve Kozmetik Amaçlı 1 kg","1800","https://www.cansizzadeyag.com/urun/kakao-yagi-1-kg"
"Kakao Yağı - Gıda ve Kozmetik Amaçlı 5 kg","9500","https://www.cansizzadeyag.com/urun/kakao-yagi-5-kg"
"Kakao Yağı - Gıda ve Kozmetik Amaçlı 150 ml","600","https://www.cansizzadeyag.com/urun/kakao-yagi-150-ml"
"Kakao Yağı - Gıda ve Kozmetik Amaçlı 25 Kg","35000","https://www.cansizzadeyag.com/urun/kakao-yagi-gida-25-kg"
"Shea Yağı (RAW/Ham Shea) Karite Yağı","1200","https://www.cansizzadeyag.com/urun/shea-yagi-ham"
"Shea Yağı (RAW/Ham Shea) Karite Yağı 1 kg","1200","https://www.cansizzadeyag.com/urun/shea-yagi-ham-1-kg"
"Shea Yağı (RAW/Ham Shea) Karite Yağı 150 ml","500","https://www.cansizzadeyag.com/urun/shea-yagi-ham-150-ml"
"Argan Yağı","1200","https://www.cansizzadeyag.com/urun/argan-yagi"
"Argan Yağı 1 kg","2200","https://www.cansizzadeyag.com/urun/argan"
"Argan Yağı 0,5 kg","1200","https://www.cansizzadeyag.com/urun/argan-yagi-500gr"
"Gliserin (Farma)","250","https://www.cansizzadeyag.com/urun/gliserin-farma"
"Gliserin (Farma) 0,5 kg","180","https://www.cansizzadeyag.com/urun/gliserin-farma-0-5-kg"
"Gliserin (Farma) 1 kg","250","https://www.cansizzadeyag.com/urun/gliserin-farma-1-kg-1"
"Gliserin (Farma) 5 kg","900","https://www.cansizzadeyag.com/urun/gliserin-farma-5-kg"
"Skualen - Squalene (Wax)","2200","https://www.cansizzadeyag.com/urun/skualen-wax"
"Skualen - Squalene (Wax) 0,5 kg","2200","https://www.cansizzadeyag.com/urun/skualen-squalene-wax-0-5-kg"
"Skualen - Squalene (Wax) 1 kg","3800","https://www.cansizzadeyag.com/urun/skualen-squalene-wax-1-kg"
"Skualen - Squalene (Sıvı)","1400","https://www.cansizzadeyag.com/urun/skualen-sivi"
"Skualen - Squalene (Sıvı) 250 ml","1400","https://www.cansizzadeyag.com/urun/skualen-sivi-250-ml"
"Skualen - Squalene (Sıvı) 500 ml","2500","https://www.cansizzadeyag.com/urun/skualen-sivi-500-ml"
"Skualen - Squalene (Sıvı) 1 Litre","4500","https://www.cansizzadeyag.com/urun/skualen-sivi-1-litre"
"Avokado Yağı","350","https://www.cansizzadeyag.com/urun/avokado-yagi"
"Avokado Yağı 1 kg","650","https://www.cansizzadeyag.com/urun/avokado-yagi-1-kg"
"Avokado Yağı 30 ml","200","https://www.cansizzadeyag.com/urun/avokado-yagi-30-ml"
"Avokado Yağı 250 ml","350","https://www.cansizzadeyag.com/urun/avokado-yagi-250-ml"
"Aloe Vera Yağı","2000","https://www.cansizzadeyag.com/urun/aloevera-yagi"
"Hint Yağı","550","https://www.cansizzadeyag.com/urun/hint-yagi"
"Hint Yağı 1 kg","550","https://www.cansizzadeyag.com/urun/hint-yagi-1-kg"
"Hint Yağı 5 kg","2500","https://www.cansizzadeyag.com/urun/hint-yagi-5-kg"
"Hint Yağı 10 kg","4500","https://www.cansizzadeyag.com/urun/hint-yagi-10-kg"
"Üzerlik Tohumu Yağı (kg)","1500","https://www.cansizzadeyag.com/urun/uzerlik-tohumu-yagi-kg"
"Üzerlik Tohumu Yağı (kg) 1 kg","4000","https://www.cansizzadeyag.com/urun/uzerlik-tohumu-yagi-kg-1-kg"
"Haşhaş Tohumu Yağı (kg)","300","https://www.cansizzadeyag.com/urun/hashas-tohumu-yagi-kg"
"Haşhaş Tohumu Yağı (kg) 1 kg","300","https://www.cansizzadeyag.com/urun/hashas-tohumu-yagi-kg-1-kg"
"Badem (Acı) Yağı (kg)","277.78","https://www.cansizzadeyag.com/urun/aci-badem-yagi-kg"
"Badem (Acı) Yağı (kg) 1 kg","277.78","https://www.cansizzadeyag.com/urun/aci-badem-yagi-kg-1-kg"
"Badem (Acı) Yağı (kg) 5 kg","1111.11","https://www.cansizzadeyag.com/urun/aci-badem-yagi-kg-5-kg"
"Menengiç Tohumu Yağı (kg)","400","https://www.cansizzadeyag.com/urun/menengic-tohumu-yagi-kg"
"Sarımsak Yağı (kg)","500","https://www.cansizzadeyag.com/urun/sarimsak-yagi-kg"
"Sarımsak Yağı (kg) 1 kg","505","https://www.cansizzadeyag.com/urun/sarimsak-yagi-kg-1-kg"
"Sarımsak Yağı","300","https://www.cansizzadeyag.com/urun/sarimsak-yagi"
"Sarımsak Yağı 250 ml","300","https://www.cansizzadeyag.com/urun/sarimsak-yagi-250-ml"
"Sarımsak Yağı 1 kg","650","https://www.cansizzadeyag.com/urun/sarimsak-yagi-1kg"
"Kenevir (Kendir) Tohumu Yağı (kg)","370.37","https://www.cansizzadeyag.com/urun/kenevir-kendir-tohumu-yagi-kg"
"Kenevir (Kendir) Tohumu Yağı (kg) 1 kg","850","https://www.cansizzadeyag.com/urun/kendir-kenevir-tohumu-yagi-kg-1-kg"
"Üzerlik Tohumu Yağı","2250","https://www.cansizzadeyag.com/urun/uzerlik-tohumu-yagi"
"Üzerlik Tohumu Yağı 250 ml","2250","https://www.cansizzadeyag.com/urun/uzerlik-tohumu-yagi-250-ml"
"Üzerlik Tohumu Yağı 1 kg","7000","https://www.cansizzadeyag.com/urun/uzerlik-tohumu-yagi-1-kg"
"Aspir Yağı (kg)","83.33","https://www.cansizzadeyag.com/urun/aspir-yagi-toptan"
"Aspir Yağı (kg) 1 kg","83.33","https://www.cansizzadeyag.com/urun/aspir-yagi-kg-1-kg"
"Aspir Yağı (kg) 5 kg","416.67","https://www.cansizzadeyag.com/urun/aspir-yagi-kg-5-kg"
"Deve Dikeni Tohumu Yağı (kg)","600","https://www.cansizzadeyag.com/urun/deve-dikeni-tohumu-yagi-toptan"
"Deve Dikeni Tohumu Yağı (kg) 1 kg","550","https://www.cansizzadeyag.com/urun/deve-dikeni-tohumu-yagi-kg-1-kg"
"Chia Tohumu Yağı (kg)","561.11","https://www.cansizzadeyag.com/urun/chia-tohumu-yagi-toptan"
"Chia Tohumu Yağı (kg) 1 kg","650","https://www.cansizzadeyag.com/urun/chia-tohumu-yagi-kg-1-kg"
"Üzüm Çekirdeği Yağı (kg)","390","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi-kg"
"Üzüm Çekirdeği Yağı (kg) 1 kg","289","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi-kg-1-kg"
"Üzüm Çekirdeği Yağı (kg) 5 kg","748.15","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi-kg-5-kg"
"Susam Yağı (kg)","320","https://www.cansizzadeyag.com/urun/susam-yagi-kg"
"Susam Yağı (kg) 1 kg","199","https://www.cansizzadeyag.com/urun/susam-yagi-kg-1-kg"
"Susam Yağı (kg) 5 kg","700","https://www.cansizzadeyag.com/urun/susam-yagi-kg-5-kg"
"Sarı Kantaron Yağı (kg)","162.04","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi-kg"
"Sarı Kantaron Yağı (kg) 1 kg","300","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi-kg-1-kg"
"Sarı Kantaron Yağı (kg) 5 kg","740.74","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi-kg-5-kg"
"Nar Çekirdeği Yağı (kg)","158.98","https://www.cansizzadeyag.com/urun/nar-cekirdegi-yagi-kg"
"Nar Çekirdeği Yağı (kg) 1 kg","290","https://www.cansizzadeyag.com/urun/nar-cekirdegi-yagi-kg-1-kg"
"Nar Çekirdeği Yağı (kg) 5 kg","748.15","https://www.cansizzadeyag.com/urun/nar-cekirdegi-yagi-kg-5-kg"
"Kuşburnu Çekirdeği Yağı (kg)","740.74","https://www.cansizzadeyag.com/urun/kusburnu-cekirdegi-yagi-kg"
"Kuşburnu Çekirdeği Yağı (kg) 1 kg","720","https://www.cansizzadeyag.com/urun/kusburnu-cekirdegi-yagi-kg-1-kg"
"Kudret Narı (Zeytinyağlı) (kg)","180","https://www.cansizzadeyag.com/urun/kudret-nari-zeytinyagli-kg"
"Keten Tohumu Yağı (kg)","92.59","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-kg"
"Keten Tohumu Yağı (kg) 1 kg","400","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-kg-1-kg"
"Keten Tohumu Yağı (kg) 5 kg","1700","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-kg-5-kg"
"Kayısı Çekirdeği Yağı (kg)","158.98","https://www.cansizzadeyag.com/urun/kayisi-cekirdegi-yagi-toptan"
"Kayısı Çekirdeği Yağı (kg) 1 kg","300","https://www.cansizzadeyag.com/urun/kayisi-cekirdegi-yagi-kg-1-kg"
"Kayısı Çekirdeği Yağı (kg) 5 kg","701.39","https://www.cansizzadeyag.com/urun/kayisi-cekirdegi-yagi-kg-5-kg"
"Kabak Çekirdeği Yağı (kg)","400","https://www.cansizzadeyag.com/urun/kabak-cekirdegi-yagi-kg"
"Kabak Çekirdeği Yağı (kg) 1 kg","320","https://www.cansizzadeyag.com/urun/kabak-cekirdegi-yagi-kg-1-kg"
"Kabak Çekirdeği Yağı (kg) 5 kg","654.63","https://www.cansizzadeyag.com/urun/kabak-cekirdegi-yagi-kg-5-kg"
"Jojoba Yağı (kg)","462.96","https://www.cansizzadeyag.com/urun/jojoba-yagi-toptan"
"Jojoba Yağı (kg) 1 kg","700","https://www.cansizzadeyag.com/urun/jojoba-yagi-kg-1-kg"
"İncir Çekirdeği Yağı (kg)","1496.3","https://www.cansizzadeyag.com/urun/incir-cekirdegi-yagi-toptan"
"İncir Çekirdeği Yağı (kg) 1 kg","3500","https://www.cansizzadeyag.com/urun/incir-cekirdegi-yagi-kg-1-kg"
"Isırgan Tohumu Yağı (kg)","648.15","https://www.cansizzadeyag.com/urun/isirgan-tohumu-yagi-kg"
"Isırgan Tohumu Yağı (kg) 1 kg","880","https://www.cansizzadeyag.com/urun/isirgan-tohumu-yagi-kg-1-kg"
"Havuç Tohumu Yağı (kg)","2000","https://www.cansizzadeyag.com/urun/havuc-tohumu-yagi-kg"
"Havuç Tohumu Yağı (kg) 1 kg","4000","https://www.cansizzadeyag.com/urun/havuc-tohumu-yagi-kg-1-kg"
"Hindistan Cevizi Yağı (kg)","250","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-toptan"
"Hindistan Cevizi Yağı (kg) 1 kg","250","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-kg-1-kg"
"Hindistan Cevizi Yağı (kg) 5 kg","1150","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-kg-5-kg"
"Fındık Yağı (kg)","400","https://www.cansizzadeyag.com/urun/findik-yagi-toptan"
"Fındık Yağı (kg) 1 kg","590","https://www.cansizzadeyag.com/urun/findik-yagi-kg-1-kg"
"Fındık Yağı (kg) 5 kg","2000","https://www.cansizzadeyag.com/urun/findik-yagi-kg-5-kg"
"Defne Tohumu Yağı (kg)","600","https://www.cansizzadeyag.com/urun/defne-tohumu-yagi-kg"
"Defne Tohumu Yağı (kg) 1 kg","850","https://www.cansizzadeyag.com/urun/defne-tohumu-yagi-kg-1-kg"
"Defne Tohumu Yağı (kg) 5 kg","2700","https://www.cansizzadeyag.com/urun/defne-tohumu-yagi-kg-5-kg"
"Çörek Otu Yağı (kg)","500","https://www.cansizzadeyag.com/urun/corek-otu-yagi-toptan"
"Çörek Otu Yağı (kg) 1 kg","320","https://www.cansizzadeyag.com/urun/corek-otu-yagi-kg-1-kg"
"Çörek Otu Yağı (kg) 5 kg","1000","https://www.cansizzadeyag.com/urun/corek-otu-yagi-kg-5-kg"
"Ceviz Yağı (kg)","187","https://www.cansizzadeyag.com/urun/ceviz-yagi-toptan"
"Ceviz Yağı (kg) 1 kg","350","https://www.cansizzadeyag.com/urun/ceviz-yagi-kg-1-kg"
"Ceviz Yağı (kg) 5 kg","850","https://www.cansizzadeyag.com/urun/ceviz-yagi-kg-5-kg"
"Buğday Ruşeym Yağı (kg)","320","https://www.cansizzadeyag.com/urun/bugday-ruseym-yagi-toptan"
"Buğday Ruşeym Yağı (kg) 1 kg","600","https://www.cansizzadeyag.com/urun/bugday-ruseym-yagi-kg-1-kg"
"Buğday Ruşeym Yağı (kg) 5 kg","1400","https://www.cansizzadeyag.com/urun/bugday-ruseym-yagi-kg-5-kg"
"Badem (Tatlı) Yağı (kg)","187.04","https://www.cansizzadeyag.com/urun/tatli-badem-yagi-kg"
"Badem (Tatlı) Yağı (kg) 1 kg","500","https://www.cansizzadeyag.com/urun/tatli-badem-yagi-kg-1-kg"
"Badem (Tatlı) Yağı (kg) 5 kg","1000","https://www.cansizzadeyag.com/urun/tatli-badem-yagi-kg-5-kg"
"Hindistan Cevizi Yağı","290","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi"
"Hindistan Cevizi Yağı 150 ml","290","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-150-ml"
"Hindistan Cevizi Yağı 300 ml","399","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-300-ml"
"Hindistan Cevizi Yağı 1 kg","750","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-1-kg"
"Hindistan Cevizi Yağı 3 Kg","1650","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-3-kg"
"Hindistan Cevizi Yağı 5 kg","3200","https://www.cansizzadeyag.com/urun/hindistan-cevizi-yagi-5-kg"
"Deve Dikeni Tohumu Yağı","250","https://www.cansizzadeyag.com/urun/deve-dikeni-tohumu-yagi"
"Deve Dikeni Tohumu Yağı 1 kg","800","https://www.cansizzadeyag.com/urun/deve-dikeni-tohumu-yagi-1-kg"
"Deve Dikeni Tohumu Yağı 50 ml","250","https://www.cansizzadeyag.com/urun/deve-dikeni-tohumu-yagi-50-ml"
"Üzüm Çekirdeği Yağı","200","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi"
"Üzüm Çekirdeği Yağı 100 ml","250","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi-100-ml"
"Üzüm Çekirdeği Yağı 250 ml","350","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi-250-ml"
"Üzüm Çekirdeği Yağı 50 ml","200","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi-50-ml"
"Üzüm Çekirdeği Yağı 1 kg","650","https://www.cansizzadeyag.com/urun/uzum-cekirdegi-yagi-1-kg"
"Susam Yağı","200","https://www.cansizzadeyag.com/urun/susam-yagi"
"Susam Yağı 250 ml","350","https://www.cansizzadeyag.com/urun/susam-yagi-250-ml"
"Susam Yağı 50 ml","200","https://www.cansizzadeyag.com/urun/susam-yagi-50-ml"
"Susam Yağı 1 kg","550","https://www.cansizzadeyag.com/urun/susam-yagi-1-kg"
"Sarı Kantaron Yağı","150","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi"
"Sarı Kantaron Yağı 100 ml","200","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi-100-ml"
"Sarı Kantaron Yağı 50 ml","150","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi-50-ml"
"Sarı Kantaron Yağı 1 kg","650","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi-1-kg"
"Sarı Kantaron Yağı 250 ml","350","https://www.cansizzadeyag.com/urun/sari-kantaron-yagi-250-ml"
"Nar Çekirdeği Yağı","200","https://www.cansizzadeyag.com/urun/nar-cekirdegi-yagi"
"Nar Çekirdeği Yağı 1 kg","450","https://www.cansizzadeyag.com/urun/nar-cekirdegi-yagi-1-kg"
"Nar Çekirdeği Yağı 50 ml","200","https://www.cansizzadeyag.com/urun/nar-cekirdegi-yagi-50-ml"
"Nar Çekirdeği Yağı 250 ml","300","https://www.cansizzadeyag.com/urun/nar-cekirdegi-yagi-250-ml"
"Kudret Narı (Zeytinyağlı-meyveli)","450","https://www.cansizzadeyag.com/urun/kudret-nari-zeytinyagli-posali"
"Kudret Narı (Zeytinyağlı-meyveli) 1 kg","700","https://www.cansizzadeyag.com/urun/kudret-nari-zeytinyagli-1-kg"
"Kudret Narı (Zeytinyağlı-meyveli) 250 ml","450","https://www.cansizzadeyag.com/urun/kudret-nari-zeytinyagli-250-ml"
"Keten Tohumu Yağı","180","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi"
"Keten Tohumu Yağı 50 ml","150","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-50-ml"
"Keten Tohumu Yağı 250 ml","225","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-250-ml"
"Keten Tohumu Yağı 1 kg","450","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-1-kg"
"Keten Tohumu Yağı 5 kg","1900","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-5-kg"
"Keten Tohumu Yağı 10 kg","3600","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-10-kg"
"Keten Tohumu Yağı 100 ml","180","https://www.cansizzadeyag.com/urun/keten-tohumu-yagi-100-ml"
"Kayısı Çekirdeği Yağı","110","https://www.cansizzadeyag.com/urun/kayisi-cekirdegi-yagi"
"Kayısı Çekirdeği Yağı 100 ml","149","https://www.cansizzadeyag.com/urun/kayisi-cekirdegi-yagi-100-ml"
"Kayısı Çekirdeği Yağı 50 ml","110","https://www.cansizzadeyag.com/urun/kayisi-cekirdegi-yagi-50-ml"
"Kayısı Çekirdeği Yağı 1 kg","440","https://www.cansizzadeyag.com/urun/kayisi-cekirdegi-yagi-1-kg"
